Comment,Designator,Footprint,LCSC,Quantity
220pF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107145,1
10MΩ,"R11,R2,R3,R4,R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C107700,6
SW_Nidec_CAS-120A1,SW1,SW_SPDT_PCM12,C109335,1
Conn_01x03_Pin,J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394,1
100Ω,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,1
0Ω,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,1
470KΩ,"R12,R17",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17709,2
47KΩ,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,1
MMBTA42,Q1,D_SOT-23,C181172,1
4KΩ,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C23179,1
ES1J,"D2,D3,D4",D_SMAF,C232830,3
100uH,L1,L_Bourns_SRP7028A_7.3x6.6mm,C2894722,1
3KΩ,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C2907263,1
68KΩ,"R7,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C2933415,2
100uF,"C4,C5",CP_Elec_5x5.3,C445083,2
100nF,"C1,C6,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,3
10mH,L2,L_Radial_D7.2mm_P3.00mm_Murata_1700,C5380230,1
NE555D,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,C596355,2
Green,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84260,1
10KΩ,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C84376,1
Fuse_Small,F1,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C883111,1
100Ω,RV1,Potentiometer_Bourns_TC33X_Vertical,C911390,1
MMBT3904,"Q2,Q3",D_SOT-23,C916374,2
10nF 1000V,"C2,C3,C8",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C9194,3
1nF,"C11,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C94121,2
100KΩ,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C96346,1
LED_RED,D5,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C965812,1
